CL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,19,41,55,80,97,122,136,157,181,205,238,311,333,378,421,454,497,543,561,602,659
1,20,39,73,96,129,164,199,234,274,313,366,421,482,564,640,707,782,838,926,1022,1162
2,2,4,5,17,23,27,34,36,54,60,63,83,94,111,117,127,142,147,153,161,171
3,22,40,56,82,94,118,136,148,178,202,222,268,296,330,361,398,430,473,504,541,618
4,28,57,76,107,131,153,198,215,264,318,357,381,435,483,540,607,657,693,753,814,948
5,8,19,32,47,63,86,106,116,138,157,185,199,216,236,255,280,304,329,355,370,421
6,7,11,14,16,25,30,39,49,54,61,79,93,107,131,160,189,217,242,269,318,383
8,14,31,50,65,82,109,126,149,168,188,221,244,288,330,376,410,437,488,522,556,645
9,6,8,15,20,24,38,52,63,89,108,131,145,157,194,231,252,280,324,373,408,533
10,8,16,22,44,56,69,88,107,123,137,148,165,192,212,234,267,298,322,340,357,414
11,15,24,39,52,71,90,104,120,136,163,188,241,279,312,352,383,418,452,476,506,570
12,5,8,15,19,30,47,60,78,90,102,114,127,148,175,203,219,234,253,273,290,326
14,3,7,13,17,21,29,35,59,69,79,85,93,103,113,133,146,169,200,218,237,322
16,8,14,21,25,31,39,54,68,78,99,115,127,134,154,173,187,198,205,212,219,233
17,5,10,23,31,57,68,86,110,137,163,192,222,266,325,399,453,495,560,625,675,892
19,14,21,25,35,40,46,56,72,82,103,109,118,135,163,193,210,226,250,285,309,357
