CL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,0,0,1,1,1,1,1,2,3,3,7,10,11,14,15,16,16,17,17,21,26
1,1,1,3,6,11,20,24,27,31,34,36,43,48,62,71,74,82,92,99,111,123
2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3
3,5,11,14,20,23,26,29,33,37,46,49,53,57,64,69,76,89,95,103,110,129
4,1,2,2,2,4,5,7,7,13,14,15,16,19,22,24,26,28,29,31,32,34
5,0,1,2,2,3,6,7,8,13,14,16,17,18,18,19,22,28,30,32,35,42
6,0,0,1,1,1,2,4,5,5,5,7,9,11,13,13,17,19,26,29,39,51
8,8,14,23,29,35,41,44,57,66,75,98,106,134,156,184,208,225,255,273,287,340
9,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,5,6,6,6,8
10,1,1,1,4,4,6,9,11,15,21,25,36,41,45,49,59,61,68,72,74,84
11,1,1,1,1,3,5,5,6,7,9,9,11,11,11,11,11,13,16,16,17,18
12,0,0,1,3,6,13,18,24,26,31,32,35,45,55,69,76,84,91,96,104,116
14,0,0,0,0,0,1,1,2,2,2,2,2,3,3,3,3,3,3,4,5,6
16,3,4,5,5,8,9,11,18,22,30,34,40,42,49,55,58,64,64,67,70,74
17,0,0,0,1,1,1,2,3,3,3,4,6,7,13,20,21,24,27,28,30,41
19,1,2,3,5,8,11,11,17,22,25,27,28,34,40,55,62,67,71,80,85,96
